Категория,Цена,Готовность в течении,Биоматериал,Название,Описание
Популярное,1990,2,"Мазок с зева, Мокрота",Стандартный ПЦР-тест на РНК коронавируса (SARS-CoV-2),"Это качественный анализ на обнаружение РНК коронавируса SARS-CoV-2. Мазок из ротоглотки нужно будет взять самостоятельно — курьер привезёт набор со всем необходимым. 

Если нужна справка на русском и английском языке, укажите это при оформлении заказа — сделаем в подарок. С ней на границе не будет проблем: лаборатория аккредитована Роспотребнадзором, а документ оформлен по всем правилам."
Популярное,1490,2,Сыворотка,"25-OH витамин D, суммарный","Основной метаболит витамина D, по которому судят о его концентрации в организме. Это жирорастворимое вещество, необходимое для поддержания в крови уровня кальция, фосфора и магния."
Популярное,290,1,Кровь с цитратом,АЧТВ,"Время, за которое образуется сгусток крови после присоединения к плазме хлорида кальция и других реагентов. Оно отражает работу так называемого внутреннего пути и общего каскада свертывающей системы крови человека и является наиболее чувствительным показателем свертываемости крови.
При применении очень высоких доз гепарина, например, при открытых операциях на сердце, тест на АЧТВ теряет свою чувствительность – тромбообразование сильно снижается."
Популярное,249,1,Сыворотка,Аланинаминотрансфераза (АЛТ),"Внутриклеточный фермент из группы аминотрансфераз, играющий одну из ключевых ролей в обмене аминокислот и обеспечении клеток энергией.
АЛТ катализирует реакцию трансаминирования между аланином и альфа-кетоглутаратом.
Находится во всех клетках организма, главным образом в печени и почках, меньше его в сердце и мышцах."
Популярное,1490,1,Кровь,"Антитела к коронавирусу SARS-Cov-2 IgM, полуколичественный","Исследование, которое помогает проверить наличие антител в крови к коронавирусу. IgM-антитела производятся первыми, их уровень быстро нарастает в начале инфекции, достигая максимума в острый период болезни, а затем постепенно снижается, полностью исчезая к моменту выздоровления."
Популярное,690,1,Сыворотка,Антитела к микросомальной тиреопероксидазе (АТ-ТПО),"Антитела к тиреопероксидазе – специфические иммуноглобулины, направленные против фермента, содержащегося в клетках щитовидной железы и отвечающего за образование активной формы йода для синтеза тиреоидных гормонов. Они являются специфичным маркером аутоиммунных заболеваний щитовидной железы."
Популярное,290,1,Сыворотка,Аспартатаминотрансфераза (АСТ),"Аспартатаминотрансфераза (АСТ) – фермент, который находится во всех клетках организма, но, главным образом,  в клетках сердца и печени и, в меньшей степени, в почках и мышцах. В норме активность АСТ в крови очень низкая. При повреждении тканей печени или мышц она высвобождается в кровь. Таким образом, АСТ является показателем повреждений печени."
Популярное,249,1,Сыворотка,Билирубин общий,"Билирубин общий — продукт распада гемоглобина, миоглобина и цитохромов, образуется преимущественно в результате распада гемовой части гемоглобина эритроцитов после их гибели, в меньшей степени при распаде других гемсодержащих белков."
Популярное,990,1,Сыворотка,Витамин B12,"Витамин B12 (цианокобаламин) – водорастворимый витамин, играет важную роль в нормальном функционировании нервной системы и формировании клеток крови.
Его дефицит может вызвать серьезные изменения в организме. B12 накапливается преимущественно в печени и селезенке."
Популярное,249,1,Кровь с фторидом натрия,Глюкоза,"Органическое соединение, основная функция которого- источник энергии для организма. Углеводы расщепляются на глюкозу и другие простые сахара, которые усваиваются тонким кишечником и поступают в кровь.
Мозгу и нервным клеткам она нужна не только как источник энергии, но и как регулятор деятельности, поскольку они могут функционировать только если содержание глюкозы в крови достигает определенного уровня."
Популярное,1890,1,Сыворотка,Гомоцистеин,"Гомоцистеин — серосодержащая аминокислота плазмы крови, является продуктом обмена аминокислот метионина и цистеина. Гомоцистеин обычно содержится в клетках организма в очень небольших концентрациях. Метионин является одной из одиннадцати незаменимых аминокислот, то есть таких, которые не образуются в организме и поступают в него только с пищей. Высокие уровни гомоцистеина в крови ассоциированы с риском сердечно-сосудистых заболеваний, сахарного диабета, болезни Альцгеймера и остеопороза."
Популярное,590,1,Сыворотка,Клинический анализ крови с лейкоцитарной формулой и СОЭ,"Клинический  анализ крови – это развернутое исследование качественного и количественного состава крови, в ходе которого дается характеристика эритроцитов и их специфических показателей (MCV, MCH, MCHC, RDW), лейкоцитов и их разновидностей в процентном соотношении (лейкоцитарная формула) и тромбоцитов, а также определяется скорость оседания эритроцитов (СОЭ). Используется для диагностики и контроля лечения многих заболеваний."
Популярное,249,1,Сыворотка,Креатинин,"Креатинин — конечный продукт метаболизма мышечного креатина, хотя незначительный вклад в его продукцию может вносить и потребление в пищу мяса. Этот показатель отражает баланс между продукцией креатинина и его экскрецией почками."
Популярное,249,1,Сыворотка,Мочевина,Основной продукт распада белков. Выводится из организма вместе с лишним азотом.
Популярное,490,1,Моча,Общий анализ мочи,"Общий (клинический) анализ мочи - исследование, позволяющее судить об общем состоянии организма и диагностировать ряд урологических, эндокринных, метаболических и других заболеваний."
Популярное,690,3,Сыворотка,Общий бета-ХГЧ,"Хорионический гонадотропин человека (ХГЧ) – это гормон, который вырабатывается в плодной оболочке человеческого эмбриона. Он является важным показателем развития беременности и ее отклонений. Бета-субъединица хорионического гонадотропина уникальна, что, с одной стороны, обуславливает специфичность его действия, а с другой – позволяет идентифицировать его в биологических средах. Зная уровень бета-ХГЧ в крови, можно уже на 6-8-й день после зачатия диагностировать беременность. В норме при беременности в период между 2-й и 5-й неделей количество бета-ХГЧ удваивается каждые 1,5 суток."
Популярное,259,1,Кровь с EDTA,СОЭ (ESR),"Неспецифический показатель воспаления, показывает скорость оседания эритроцитов."
Популярное,2490,1,"Мазок с зева, Мокрота",Срочный ПЦР-тест на РНК коронавируса (SARS-CoV-2),"Это качественный анализ на обнаружение РНК коронавируса SARS-CoV-2. Мазок из ротоглотки нужно будет взять самостоятельно — курьер привезёт набор со всем необходимым. 

Если нужна справка на русском и английском языке, укажите это при оформлении заказа — сделаем в подарок. С ней на границе не будет проблем: лаборатория аккредитована Роспотребнадзором, а документ оформлен по всем правилам."
Популярное,590,3,Сыворотка,Тиреотропный гормон (ТТГ),"Тиреотропный гормон (ТТГ) – основной регулятор функции щитовидной железы, синтезирующийся гипофизом – небольшой железой, которая расположена на нижней поверхности головного мозга. Основная его функция – поддерживать постоянную концентрацию гормонов щитовидной железы – тиреоидных гормонов, которые регулируют процессы образования энергии в организме. Когда их содержание в крови понижается, гипоталамус высвобождает гормон, стимулирующий секрецию ТТГ гипофизом."
Популярное,590,3,Сыворотка,Тироксин (Т4) свободный,"Тироксин (Т4) – один из двух главных гормонов щитовидной железы, основной функцией которого является регуляция энергетического и пластического обмена в организме. Свободный тироксин – биологически активная часть общего тироксина, которая играет важную роль в обмене веществ."
Популярное,290,1,Сыворотка,Триглицериды,"Жиры - один из основных источников энергии для клеток организма. Часть триглицеридов находится в крови.
Повышение их уровня увеличивает риск заболевания сердца и сосудов, а также риск развития острого панкреатита."
Популярное,690,1,Сыворотка,Ферритин,"Ферритин — основной белок, который депонирует железо, и служит индикатором запасов железа в организме."
Популярное,390,1,Кровь с цитратом,Фибриноген,"Фибриноген - растворённый в плазме бесцветный белок, вырабатываемый печенью. При активации системы свёртывания крови подвергается ферментативному расщеплению ферментом тромбином. Образующийся фибрин - основа сгустка при свертывании крови."
